MUNICIPIO,total_accidentes,IDA_promedio,prop_heridos,prop_muertos,prop_tarde,prop_noche,prop_madrugada,prop_rural,poblacion,tasa_accidentes,cluster,cluster_dbscan,cluster_agg,cluster_gmm
ABEJORRAL,22,0.45454545454545453,0.2727272727272727,0.0,0.4090909090909091,0.18181818181818182,0.0,0.6818181818181818,19195,11.46131805157593,0,-1,0,4
ALEJANDRÍA,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3435,2.9112081513828243,0,0,0,3
AMAGA,84,0.6785714285714286,0.38095238095238093,0.047619047619047616,0.4880952380952381,0.23809523809523808,0.03571428571428571,0.5595238095238095,29770,28.216325159556604,2,-1,2,0
ANZA,6,1.3333333333333333,1.0,0.0,0.5,0.3333333333333333,0.0,1.0,7580,7.915567282321899,1,-1,1,2
BETANIA,16,0.125,0.125,0.0,0.375,0.3125,0.0625,0.875,9188,17.414018284719198,2,-1,2,4
BURITICA,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6566,1.5229972586049345,0,0,0,3
CAICEDO,23,0.043478260869565216,0.043478260869565216,0.0,0.391304347826087,0.2608695652173913,0.043478260869565216,0.8260869565217391,8275,27.794561933534744,2,-1,2,4
CARAMANTA,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5340,1.8726591760299627,0,0,0,3
COCORNA,14,2.5,0.5,0.07142857142857142,0.5,0.07142857142857142,0.14285714285714285,0.6428571428571429,14964,9.355787222667736,1,-1,1,2
CONCORDIA,6,2.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666,20565,2.9175784099197664,1,-1,1,2
CÁCERES,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,38850,0.2574002574002574,1,-1,1,2
FREDONIA,74,0.6621621621621622,0.4594594594594595,0.02702702702702703,0.4189189189189189,0.12162162162162163,0.06756756756756757,0.6216216216216216,21426,34.53747783067302,2,-1,2,0
GRANADA,8,0.375,0.125,0.125,0.375,0.0,0.0,0.75,9866,8.108655990269613,0,-1,0,1
GUARNE,71,0.8732394366197183,0.3380281690140845,0.08450704225352113,0.5774647887323944,0.1267605633802817,0.04225352112676056,0.5633802816901409,48659,14.591339731601554,2,-1,0,4
GUATAPE,6,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.6666666666666666,5231,11.470082202255783,0,-1,0,3
ITUANGO,9,1.3333333333333333,0.6666666666666666,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.6666666666666666,20628,4.363001745200698,1,-1,1,2
JARDÍN,4,0.5,0.25,0.0,0.75,0.25,0.0,0.75,13673,2.925473561032692,0,-1,0,1
JERICÓ,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,12016,1.6644474034620507,0,0,0,3
LA UNIÓN,15,0.7333333333333333,0.5333333333333333,0.0,0.3333333333333333,0.2,0.13333333333333333,0.3333333333333333,19229,7.800717666025275,1,-1,0,1
LIBORINA,4,2.0,0.75,0.25,0.25,0.25,0.25,0.5,9546,4.190236748376283,1,-1,1,2
PEÑOL,8,0.0,0.0,0.0,0.375,0.0,0.0,0.375,15848,5.047955577990914,0,0,0,3
PUEBLO RICO,2,0.0,0.0,0.0,0.5,0.0,0.0,1.0,6913,2.8930999566035007,0,0,0,3
SAN JERÓNIMO,6,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,12724,4.715498270983968,0,0,0,3
SAN LUIS,2,0.0,0.0,0.0,0.5,0.5,0.0,1.0,10938,1.8284878405558602,0,0,0,3
SAN VICENTE,9,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.6666666666666666,16967,5.304414451582484,0,0,0,3
SANTA FE DE ANTIOQUIA,48,1.2083333333333333,0.7291666666666666,0.14583333333333334,0.4166666666666667,0.08333333333333333,0.14583333333333334,0.7291666666666666,24724,19.41433425012134,1,-1,2,2
SANTABÁRBARA,10,0.0,0.0,0.0,0.3,0.4,0.2,0.4,21917,4.56266824839166,0,0,0,3
SOPETRAN,4,0.25,0.25,0.0,0.0,0.75,0.25,0.25,14821,2.69887322043047,0,-1,0,1
TITIRIBÍ,5,0.6,0.4,0.0,0.8,0.0,0.0,0.8,14494,3.449703325514006,0,-1,0,1
TÁMESIS,4,0.5,0.25,0.0,1.0,0.0,0.0,1.0,14559,2.7474414451542004,0,-1,0,1
VALPARAÍSO,12,0.25,0.16666666666666666,0.0,0.4166666666666667,0.25,0.08333333333333333,0.75,6152,19.50585175552666,2,-1,2,4
VENECIA,8,0.625,0.5,0.0,0.625,0.25,0.125,0.375,13231,6.0464061673342915,0,-1,0,1
